"Project.Name","ProjectID","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"BRADLEY FVS",27,,,,,,,,,,376227.833,142617.5527,1049631.3768,4477897.9198,400646,2247426.28,-205319.4492,-768500,-66905.4375,,,,,3502808.8379,71509.2812
"BRADLEY UPGRADE",1849,,,,,40843,34434,,,,0,-6087.6899,-443906.9844,,-209,,,-223391.4844,,,,,,0,
"BRADLEY, INFANTRY FT VEH",1928,,,,,,,,,,-499359.9063,,,,,,,,,,,,,,
"BSJ",2064,,,,,,,,,,,,,-50974.2695,-2337207.65,,0,-575885.0975,-26040.3496,,,,,,
"BSM",1972,,,,,,2166457,,49756,81301.269,963800,,,-37104.0586,0,-187614.65,-1231601.0386,-670831.125,,-82976.3203,0,,,,
"BSM ENERGY",1962,,,,,,,,,416162.2969,1412635.7962,114100.9237,2434619.4128,9162610.0626,630622.1,-584.08,-99251.3281,-15969.1504,,,,,,,
"BSR",2065,,,,,,,,,,,,-134837.75,-678679.7188,-283084.68,,,,,,-387011.4063,,,,
"BTLFLD DIGITALIZATION",633,,,,,,,,,,,,,,,149790,,,,,,,,,
"C-12",89,,,,,,,,,,,-35682.6797,,,,,,,,,,,,,
"C-130 AMP",702,,,,,,,,,275990,429786.0786,9065425.0774,236903.2383,431343.8536,325096.62,291572.01,-955601.475,-103835.4219,-275000,-45048,,,0,,
"C-130 HERCULES",716,50101040,88461035,97493519,3104525,,,,,,-664288.6731,-1205524.6383,-858890.9532,,,,,,-129.53,,0,0,0,-48194.5996,
"C-130H",1827,,,,,,,,,175681.9805,48347291.9134,18990906.4145,27807724.8926,17062574.6098,1956211.18,3839939.85,-506995.9886,-259607.7825,-401573.42,-98707.1269,-3084838.75,-320.5,-26060,-190.9,
"C-141 STARLIFTER",1420,15496901,27230586,18908424,199130,,,,,,,-13837.4502,,,,,,,,,,,,,
"C-17A",614,,,,,,50000,7714,3291779,3912091,5278769.0035,112663935.5968,144570602.5263,21887635.5887,65621114.7512,-49252232.4556,-27493166.1517,-15256555.2164,-20519004.7963,-31668157.4827,-5919435.2992,-9858579.6181,-16905965.7314,-4330504.6446,
"C-17A CARGO TRANSPORT",1430,1142958,1936023,3484953,29525,,,,,,-3567.95,,,,,,,,0,0,,,,,
"C-18",1429,332709,105956,188611,,,,,,,,,,,,,,,,,,,,,
"C-2 GREYHOUND",714,1348331,1396860,3865070,,,,,,,,,,,,,,,,,,,,,
"C-3",715,,,,,,,,,,-83994.4429,-222501.6285,-112299.6817,,,,,,20577,,0,0,,,
"C-5 GALAXY",1404,32096601,41642038,34379569,859156,,,,0,-5300,-462044.5938,-519682.6358,-10425.9805,,,,,,,-94768.8906,0,0,,,
"C-5 RERP",1326,,,,,1290472,170075,,,,74925,219339.3886,-500,-7350,-250000,78355.9,-4672499.8242,327500,-6308259.9171,-1216306.6959,-1594394.59,-2567077.0845,-11979466.0142,-2288761.7518,-773999.978
"C-5A",1348,,,,,,,,,953555.0313,3483533.2187,624297.1279,10643124.77,-1710934.4609,-37084.48,-9508.55920000001,-657257.3701,-59048.751,-165890.7266,,-8980932.7949,,,-1681630.6348,
"C-5B",615,,,,,,,,,7735713.8951,53105514.5399,19551993.3601,7016770.6548,3986512.1605,-28633.53,10229563.75,-407944.8344,53202.7275,0,-14937.9399,-196739.4019,-54282.1602,-0.02,-29868536.6223,
"C-9 SKYTRAIN II",724,,,,,,,,,,,-353704.4688,,,,,,,,,,,,,
"C/MH-53E",16,,,,,,704172.3203,,660500,3178887.9688,71626530.0566,18493887.8626,25827715.3675,23004422.3558,9671538.44,33358305.1125,-2460408.25,-1832055.6789,-8551832.3125,-48000,0,-901049.125,,-11980,361552.75
"C130-J",631,,,,,155201,1433088,,,35572,361815.0049,-151561.5071,-3731777.0679,-2541548.5449,-13591399.4781,51919668.7325,-27678206.3939,-24659952.0208,-30295613.1753,-12595226.1107,-19790777.0977,-19799982.2712,-7206410.0931,-8608795.7781,-2655484.712
"CAC2S INC 1",2153,,,,,,,,,,,,,,,,,,0,,,,,,
"CANES",2035,,,,,,,,,,,,,,,,,,,,,0,,,0
"CARRIER M113 MODS",1929,,,,,,-12763.5,,,0,-11850.5,,,-1204.77,,,,,,,,,,,
"CBDP",1344,,,,,,,,,,,,-2501078.46,-2461037,-349128.72,-296336.21,-174236.1172,,,,,,,1098716,
"CCIC2S",1989,,,,,,,,,,,,,,,,,0,,,,,0,0,
"CDL",1341,,,,,,,,,48253,,,,,,,,,,,,,,,
"CEC",1843,,,,,,,,,,,,,-201134.5708,-299989.79,-1220.19,,0,0,0,-1.92,0,-293359.6133,-1291986.8516,
"CG(X)",653,,,,,,,,,,,0,,,,,,,,,,,,,
"CG-47",55,,,,,,,,,750000,,430000,615692.3672,42771.0195,913786,1865161.11,1310074,1495244,216356.88,22450,,0,0,0,
