"principalnaicscode","principalnaicscodeText","principalNAICS2DigitCode","principalNAICS3DigitCode","principalNAICS4DigitCode","NAICS_shorthand","NAICS_unabbreviated","CriticalTech","FPDS_AnyTag","DeepTech","HighTech","Biotechnology","Quantum","FutureG","AdvMaterials","TrustedAI","SysOfSys","Microelectronics","Space","Renewable","Computing","HMI","DirectedEnergy","Hypersonics","SensorCyber","ComponentTech","ExIm_AnyTag","IsFormerCFIUScriticalTech","HighTechBLS"
336411,"Aircraft Manufacturing","31-33","336","3364","336411 Aircraft Manufacturing","336411 Aircraft Manufacturing","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"Level-I Industry"
336412,"Aircraft Engine and Engine Parts Manufacturing","31-33","336","3364","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"Level-I Industry"
336413,"Other Aircraft Parts and Auxiliary Equipment Manufacturing","31-33","336","3364","336413 Other Aircraft Parts Equip. Manuf.","336413 Other Aircraft Parts Equipment Manufacturing","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Level-I Industry"
336414,"Guided Missile and Space Vehicle Manufacturing","31-33","336","3364","NULL","NULL","Space",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,"Level-I Industry"
336415,"Guided Missile and Space Vehicle Propulsion Unit and Propulsion Unit Parts Manufacturing","31-33","336","3364","NULL","NULL","Space",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"Level-I Industry"
336419,"Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufacturing","31-33","336","3364","NULL","NULL","Space",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"Level-I Industry"
336510,"Railroad Rolling Stock Manufacturing","31-33","336","3365","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
336611,"Ship Building and Repairing","31-33","336","3366","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
336612,"Boat Building","31-33","336","3366","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
336991,"Motorcycle, Bicycle, and Parts Manufacturing","31-33","336","3369","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Level-III Industry"
336992,"Military Armored Vehicle, Tank, and Tank Component Manufacturing","31-33","336","3369","336992 Mil. Armored Veh. & Component Manufacturing","336992 Military Armored Vehicle & Component Manufacturing","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"Level-III Industry"
336999,"All Other Transportation Equipment Manufacturing","31-33","336","3369","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Level-III Industry"
337110,"Wood Kitchen Cabinet and Countertop Manufacturing","31-33","337","3371","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
337121,"Upholstered Household Furniture Manufacturing","31-33","337","3371","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
337122,"Nonupholstered Wood Household Furniture Manufacturing","31-33","337","3371","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
337124,"Metal Household Furniture Manufacturing","31-33","337","3371","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
337125,"Household Furniture (except Wood and Metal) Manufacturing","31-33","337","3371","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
337127,"Institutional Furniture Manufacturing","31-33","337","3371","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
337129,"Wood Television, Radio, and Sewing Machine Cabinet Manufacturing","31-33","337","3371","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
337211,"Wood Office Furniture Manufacturing","31-33","337","3372","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
337212,"Custom Architectural Woodwork and Millwork Manufacturing","31-33","337","3372","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
337214,"Office Furniture (except Wood) Manufacturing","31-33","337","3372","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
337215,"Showcase, Partition, Shelving, and Locker Manufacturing","31-33","337","3372","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
337910,"Mattress Manufacturing","31-33","337","3379","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
337920,"Blind and Shade Manufacturing","31-33","337","3379","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
339110,"Medical Equipment and Supplies Manufacturing","31-33","339","3391","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
339111,"Laboratory Apparatus and Furniture Manufacturing","31-33","339","3391","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
339112,"Surgical and Medical Instrument Manufacturing","31-33","339","3391","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
339113,"Surgical Appliance and Supplies Manufacturing","31-33","339","3391","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
339114,"Dental Equipment and Supplies Manufacturing","31-33","339","3391","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
339115,"Ophthalmic Goods Manufacturing","31-33","339","3391","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
339116,"Dental Laboratories","31-33","339","3391","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
339910,"Jewelry and Silverware Manufacturing","31-33","339","3399","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
339911,"Jewelry (Except Costume) Manufacturing","31-33","339","3399","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
339912,"Silverware and Hollowware Manufacturing","31-33","339","3399","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
339913,"Jewelers' Material and Lapidary Work Manufacturing","31-33","339","3399","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
339914,"Costume Jewelry and Novelty Manufacturing","31-33","339","3399","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
339920,"Sporting and Athletic Goods Manufacturing","31-33","339","3399","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
339930,"Doll, Toy, and Game Manufacturing","31-33","339","3399","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
339931,"Doll and Stuffed Toy Manufacturing","31-33","339","3399","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
339932,"Game, Toy, and Children'S Vehicle Manufacturing","31-33","339","3399","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
339940,"Office Supplies (except Paper) Manufacturing","31-33","339","3399","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
339941,"Pen and Mechanical Pencil Manufacturing","31-33","339","3399","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
339942,"Lead Pencil and Art Good Manufacturing","31-33","339","3399","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
339943,"Marking Device Manufacturing","31-33","339","3399","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
339944,"Carbon Paper and Inked Ribbon Manufacturing","31-33","339","3399","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
339950,"Sign Manufacturing","31-33","339","3399","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
339991,"Gasket, Packing, and Sealing Device Manufacturing","31-33","339","3399","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
339992,"Musical Instrument Manufacturing","31-33","339","3399","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
339993,"Fastener, Button, Needle, and Pin Manufacturing","31-33","339","3399","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
339994,"Broom, Brush, and Mop Manufacturing","31-33","339","3399","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
339995,"Burial Casket Manufacturing","31-33","339","3399","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
339999,"All Other Miscellaneous Manufacturing","31-33","339","3399","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
421110,"Automobile and Other Motor Vehicle Wholesalers","42","421","4211","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
421120,"Motor Vehicle Supplies and New Parts Wholesalers","42","421","4211","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
421130,"Tire and Tube Wholesalers","42","421","4211","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
421140,"Motor Vehicle Parts (Used) Wholesalers","42","421","4211","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
421210,"Furniture Wholesalers","42","421","4212","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
421220,"Home Furnishing Wholesalers","42","421","4212","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
421310,"Lumber, Plywood, Millwork, and Wood Panel Wholesalers","42","421","4213","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
421320,"Brick, Stone, and Related Construction Material Wholesalers","42","421","4213","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
421330,"Roofing, Siding, and Insulation Material Wholesalers","42","421","4213","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
421390,"Other Construction Material Wholesalers","42","421","4213","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
421410,"Photographic Equipment and Supplies Wholesalers","42","421","4214","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
421420,"Office Equipment Wholesalers","42","421","4214","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
421430,"Computer and Computer Peripheral Equipment and Software Wholesalers","42","421","4214","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
421440,"Other Commercial Equipment Wholesalers","42","421","4214","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
421450,"Medical, Dental, and Hospital Equipment and Supplies Wholesalers","42","421","4214","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
421460,"Ophthalmic Goods Wholesalers","42","421","4214","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
421490,"Other Professional Equipment and Supplies Wholesalers","42","421","4214","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
421510,"Metal Service Centers and Offices","42","421","4215","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
421520,"Coal and Other Mineral and Ore Wholesalers","42","421","4215","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
421610,"Electrical Apparatus and Equipment, Wiring Supplies, and Construction Material Wholesalers","42","421","4216","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
421620,"Electrical Appliance, Television, and Radio Set Wholesalers","42","421","4216","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
421690,"Other Electronic Parts and Equipment Wholesalers","42","421","4216","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
421710,"Hardware Wholesalers","42","421","4217","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
421720,"Plumbing and Heating Equipment and Supplies (Hydronics) Wholesalers","42","421","4217","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
421730,"Warm Air Heating and Air-Conditioning Equipment and Supplies Wholesalers","42","421","4217","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
421740,"Refrigeration Equipment and Supplies Wholesalers","42","421","4217","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
421810,"Construction and Mining (Except Oil Well) Machinery and Equipment Wholesalers","42","421","4218","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
421820,"Farm and Garden Machinery and Equipment Wholesalers","42","421","4218","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
421830,"Industrial Machinery and Equipment Wholesalers","42","421","4218","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
421840,"Industrial Supplies Wholesalers","42","421","4218","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
421850,"Service Establishment Equipment and Supplies Wholesalers","42","421","4218","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
421860,"Transportation Equipment and Supplies (Except Motor Vehicle) Wholesalers","42","421","4218","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
421910,"Sporting and Recreational Goods and Supplies Wholesalers","42","421","4219","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
421920,"Toy and Hobby Goods and Supplies Wholesalers","42","421","4219","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
421930,"Recyclable Material Wholesalers","42","421","4219","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
421940,"Jewelry, Watch, Precious Stone, and Precious Metal Wholesalers","42","421","4219","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
421990,"Other Miscellaneous Durable Goods Wholesalers","42","421","4219","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
422110,"Printing and Writing Paper Wholesalers","42","422","4221","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
422120,"Stationery and Office Supplies Wholesalers","42","422","4221","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
422130,"Industrial and Personal Service Paper Wholesalers","42","422","4221","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
422210,"Drugs and Druggists' Sundries Wholesalers","42","422","4222","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
422310,"Piece Goods, Notions, and Other Dry Goods Wholesalers","42","422","4223","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
422320,"Men'S and Boys' Clothing and Furnishings Wholesalers","42","422","4223","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
422330,"Women'S, Children'S, and Infants' Clothing and Accessories Wholesalers","42","422","4223","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
422340,"Footwear Wholesalers","42","422","4223","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
422410,"General Line Grocery Wholesalers","42","422","4224","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
422420,"Packaged Frozen Food Wholesalers","42","422","4224","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
422430,"Dairy Product (Except Dried Or Canned) Wholesalers","42","422","4224","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
422440,"Poultry and Poultry Product Wholesalers","42","422","4224","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
422450,"Confectionery Wholesalers","42","422","4224","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
422460,"Fish and Seafood Wholesalers","42","422","4224","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
422470,"Meat and Meat Product Wholesalers","42","422","4224","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
422480,"Fresh Fruit and Vegetable Wholesalers","42","422","4224","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
422490,"Other Grocery and Related Products Wholesalers","42","422","4224","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
422510,"Grain and Field Bean Wholesalers","42","422","4225","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
422520,"Livestock Wholesalers","42","422","4225","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
422590,"Other Farm Product Raw Material Wholesalers","42","422","4225","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
422610,"Plastics Materials and Basic Forms and Shapes Wholesalers","42","422","4226","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
422690,"Other Chemical and Allied Products Wholesalers","42","422","4226","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
422710,"Petroleum Bulk Stations and Terminals","42","422","4227","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
422720,"Petroleum and Petroleum Products Wholesalers (Except Bulk Stations and Terminals)","42","422","4227","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
422810,"Beer and Ale Wholesalers","42","422","4228","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
422820,"Wine and Distilled Alcoholic Beverage Wholesalers","42","422","4228","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
422910,"Farm Supplies Wholesalers","42","422","4229","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
422920,"Book, Periodical, and Newspaper Wholesalers","42","422","4229","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
422930,"Flower, Nursery Stock, and Florists' Supplies Wholesalers","42","422","4229","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
