,NAICS_Code, Action.Obligation , Obligation.2016 , minyear ,maxyear,2007 to 2012,1997 to 2002,,2007 NAICS U.S. Matched to 2012 NAICS U.S. (Full Concordance),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,561,561510,Travel Agencies,561510,Travel Agencies,,,,,,,,,,,,,551,551111,Offices of Bank Holding Companies,551111,Offices of Bank Holding Companies,,,,,511,511140,Database and Directory Publishers,511140,Directory and Mailing List Publishers,Database and Directory Publishers (except Internet Publishers)
,,,,,,,,561,561520,Tour Operators,561520,Tour Operators,,,,,,,,,,,,,551,551112,Offices of Other Holding Companies,551112,Offices of Other Holding Companies,,,,,511,511140,Database and Directory Publishers,516110,Internet Publishing and Broadcasting (pt.),Internet Database and Directory Publishers
,,,,,,,,561,561591,Convention and Visitors Bureaus,561591,Convention and Visitors Bureaus,,,,,,,,,,,,,551,551114,"Corporate, Subsidiary, and Regional Managing Offices",551114,"Corporate, Subsidiary, and Regional Managing Offices",,,,,511,511191,Greeting Card Publishers,511191,Greeting Card Publishers,Greeting Card Publishers (except Internet Publishers)
,,,,,,,,561,561599,All Other Travel Arrangement and Reservation Services,561599,All Other Travel Arrangement and Reservation Services,,,,,,,,,,,,,561,561110,Office Administrative Services,561110,Office Administrative Services,,,,,511,511191,Greeting Card Publishers,516110,Internet Publishing and Broadcasting (pt.),Internet Greeting Card Publishers
,,,,,,,,561,561611,Investigation Services,561611,Investigation Services,,,,,,,,,,,,,561,561210,Facilities Support Services,561210,Facilities Support Services,,,,,511,511199,All Other Publishers,511130,Book Publishers,Atlas and Map Publishers (except Internet Publishers)
,,,,,,,,561,561612,Security Guards and Patrol Services,561612,Security Guards and Patrol Services,,,,,,,,,,,,,561,561310,Employment Placement Agencies,561311,Employment Placement Agencies,,,,,511,511199,All Other Publishers,511199,All Other Publishers,All Other Publishers (except Internet Publishers)
,,,,,,,,561,561613,Armored Car Services,561613,Armored Car Services,,,,,,,,,,,,,561,561320,Temporary Help Services,561320,Temporary Help Services,,,,,511,511199,All Other Publishers,516110,Internet Publishing and Broadcasting (pt.),All Other Internet Publishers
,,,,,,,,561,561621,Security Systems Services (except Locksmiths),561621,Security Systems Services (except Locksmiths),,,,,,,,,,,,,561,561330,Professional Employer Organizations,561330,Professional Employer Organizations,,,,,511,511210,Software Publishers,511210,Software Publishers,
,,,,,,,,561,561622,Locksmiths,561622,Locksmiths,,,,,,,,,,,,,561,561410,Document Preparation Services,561410,Document Preparation Services,,,,,512,512110,Motion Picture and Video Production,512110,Motion Picture and Video Production,
,,,,,,,,561,561710,Exterminating and Pest Control Services,561710,Exterminating and Pest Control Services,,,,,,,,,,,,,561,561421,Telephone Answering Services,561421,Telephone Answering Services,,,,,512,512120,Motion Picture and Video Distribution,512120,Motion Picture and Video Distribution,
,,,,,,,,561,561720,Janitorial Services,561720,Janitorial Services,,,,,,,,,,,,,561,561422,Telemarketing Bureaus,561422,Telemarketing Bureaus and Other Contact Centers,,,,,512,512131,Motion Picture Theaters (except Drive-Ins),512131,Motion Picture Theaters (except Drive-Ins),
,,,,,,,,561,561730,Landscaping Services,561730,Landscaping Services,,,,,,,,,,,,,561,561431,Private Mail Centers,561431,Private Mail Centers,,,,,512,512132,Drive-In Motion Picture Theaters,512132,Drive-In Motion Picture Theaters,
,,,,,,,,561,561740,Carpet and Upholstery Cleaning Services,561740,Carpet and Upholstery Cleaning Services,,,,,,,,,,,,,561,561439,Other Business Service Centers (including Copy Shops),561439,Other Business Service Centers (including Copy Shops),,,,,512,512191,Teleproduction and Other Postproduction Services,512191,Teleproduction and other Postproduction Services,
,,,,,,,,561,561790,Other Services to Buildings and Dwellings,561790,Other Services to Buildings and Dwellings,,,,,,,,,,,,,561,561440,Collection Agencies,561440,Collection Agencies,,,,,512,512199,Other Motion Picture and Video Industries,512199,Other Motion Picture and Video Industries,
,,,,,,,,561,561910,Packaging and Labeling Services,561910,Packaging and Labeling Services,,,,,,,,,,,,,561,561450,Credit Bureaus,561450,Credit Bureaus,,,,,512,512210,Record Production,512210,Record Production,
,,,,,,,,561,561920,Convention and Trade Show Organizers,561920,Convention and Trade Show Organizers,,,,,,,,,,,,,561,561491,Repossession Services,561491,Repossession Services,,,,,512,512220,Integrated Record Production/Distribution,512220,Integrated Record Production/Distribution,
,,,,,,,,561,561990,All Other Support Services,561990,All Other Support Services,,,,,,,,,,,,,561,561492,Court Reporting and Stenotype Services,561492,Court Reporting and Stenotype Services,,,,,512,512230,Music Publishers,512230,Music Publishers,
,,,,,,,,562,562111,Solid Waste Collection,562111,Solid Waste Collection,,,,,,,,,,,,,561,561499,All Other Business Support Services,561499,All Other Business Support Services,,,,,512,512240,Sound Recording Studios,512240,Sound Recording Studios,
,,,,,,,,562,562112,Hazardous Waste Collection,562112,Hazardous Waste Collection,,,,,,,,,,,,,561,561510,Travel Agencies,561510,Travel Agencies,,,,,512,512290,Other Sound Recording Industries,512290,Other Sound Recording Industries,
,,,,,,,,562,562119,Other Waste Collection,562119,Other Waste Collection,,,,,,,,,,,,,561,561520,Tour Operators,561520,Tour Operators,,,,,513,513111,Radio Networks,515111,Radio Networks ,
,,,,,,,,562,562211,Hazardous Waste Treatment and Disposal,562211,Hazardous Waste Treatment and Disposal,,,,,,,,,,,,,561,561591,Convention and Visitors Bureaus,561591,Convention and Visitors Bureaus,,,,,513,513112,Radio Stations,515112,Radio Stations,
,,,,,,,,562,562212,Solid Waste Landfill,562212,Solid Waste Landfill,,,,,,,,,,,,,561,561599,All Other Travel Arrangement and Reservation Services,561599,All Other Travel Arrangement and Reservation Services,,,,,513,513120,Television Broadcasting,515120,Television Broadcasting,
,,,,,,,,562,562213,Solid Waste Combustors and Incinerators,562213,Solid Waste Combustors and Incinerators,,,,,,,,,,,,,561,561611,Investigation Services,561611,Investigation Services,,,,,513,513210,Cable Networks,515210,Cable and Other Subscription Programming,
,,,,,,,,562,562219,Other Nonhazardous Waste Treatment and Disposal,562219,Other Nonhazardous Waste Treatment and Disposal,,,,,,,,,,,,,561,561612,Security Guards and Patrol Services,561612,Security Guards and Patrol Services,,,,,513,513220,Cable and Other Program Distribution,517510,Cable and Other Program Distribution,
,,,,,,,,562,562910,Remediation Services,562910,Remediation Services,,,,,,,,,,,,,561,561613,Armored Car Services,561613,Armored Car Services,,,,,513,513310,Wired Telecommunications Carriers,517110,Wired Telecommunications Carriers,
,,,,,,,,562,562920,Materials Recovery Facilities,562920,Materials Recovery Facilities,,,,,,,,,,,,,561,561621,Security Systems Services (except Locksmiths),561621,Security Systems Services (except Locksmiths),,,,,513,513321,Paging,517211,Paging,
,,,,,,,,562,562991,Septic Tank and Related Services,562991,Septic Tank and Related Services,,,,,,,,,,,,,561,561622,Locksmiths,561622,Locksmiths,,,,,513,513322,Cellular and Other Wireless Telecommunications,517212,Cellular and Other Wireless Telecommunications,
,,,,,,,,562,562998,All Other Miscellaneous Waste Management Services,562998,All Other Miscellaneous Waste Management Services,,,,,,,,,,,,,561,561710,Exterminating and Pest Control Services,561710,Exterminating and Pest Control Services,,,,,513,513330,Telecommunications Resellers,517310,Telecommunications Resellers,
,,,,,,,,611,611110,Elementary and Secondary Schools,611110,Elementary and Secondary Schools,,,,,,,,,,,,,561,561720,Janitorial Services,561720,Janitorial Services,,,,,513,513340,Satellite Telecommunications,517410,Satellite Telecommunications,
,,,,,,,,611,611210,Junior Colleges,611210,Junior Colleges,,,,,,,,,,,,,561,561730,Landscaping Services,561730,Landscaping Services,,,,,513,513390,Other Telecommunications,517910,Other Telecommunications,
,,,,,,,,611,611310,"Colleges, Universities, and Professional Schools",611310,"Colleges, Universities, and Professional Schools",,,,,,,,,,,,,561,561740,Carpet and Upholstery Cleaning Services,561740,Carpet and Upholstery Cleaning Services,,,,,514,514110,News Syndicates,519110,News Syndicates,
,,,,,,,,611,611410,Business and Secretarial Schools,611410,Business and Secretarial Schools,,,,,,,,,,,,,561,561790,Other Services to Buildings and Dwellings,561790,Other Services to Buildings and Dwellings,,,,,514,514120,Libraries and Archives,519120,Libraries and Archives,
,,,,,,,,611,611420,Computer Training,611420,Computer Training,,,,,,,,,,,,,561,561910,Packaging and Labeling Services,561910,Packaging and Labeling Services,,,,,514,514191,On-Line Information Services,518111,Internet Service Providers,
,,,,,,,,611,611430,Professional and Management Development Training,611430,Professional and Management Development Training,,,,,,,,,,,,,561,561920,Convention and Trade Show Organizers,561920,Convention and Trade Show Organizers,,,,,514,514199,All Other Information Services,516110,Internet Publishing and Broadcasting (pt.),Internet Broadcasting
,,,,,,,,611,611511,Cosmetology and Barber Schools,611511,Cosmetology and Barber Schools,,,,,,,,,,,,,561,561990,All Other Support Services,561990,All Other Support Services,,,,,514,514199,All Other Information Services,518112,Web Search Portals,Web Search Portals
,,,,,,,,611,611512,Flight Training,611512,Flight Training,,,,,,,,,,,,,562,562111,Solid Waste Collection,562111,Solid Waste Collection,,,,,514,514199,All Other Information Services,519190,All Other Information Services,All Other Information Services
,,,,,,,,611,611513,Apprenticeship Training,611513,Apprenticeship Training,,,,,,,,,,,,,562,562112,Hazardous Waste Collection,562112,Hazardous Waste Collection,,,,,514,514210,Data Processing Services,518210,"Data Processing, Hosting, and Related Services",
,,,,,,,,611,611519,Other Technical and Trade Schools,611519,Other Technical and Trade Schools,,,,,,,,,,,,,562,562119,Other Waste Collection,562119,Other Waste Collection,,,,,521,521110,Monetary Authorities - Central Bank,521110,Monetary Authorities - Central Bank,
,,,,,,,,611,611610,Fine Arts Schools,611610,Fine Arts Schools,,,,,,,,,,,,,562,562211,Hazardous Waste Treatment and Disposal,562211,Hazardous Waste Treatment and Disposal,,,,,522,522110,Commercial Banking,522110,Commercial Banking,
,,,,,,,,611,611620,Sports and Recreation Instruction,611620,Sports and Recreation Instruction,,,,,,,,,,,,,562,562212,Solid Waste Landfill,562212,Solid Waste Landfill,,,,,522,522120,Savings Institutions,522120,Savings Institutions,
,,,,,,,,611,611630,Language Schools,611630,Language Schools,,,,,,,,,,,,,562,562213,Solid Waste Combustors and Incinerators,562213,Solid Waste Combustors and Incinerators,,,,,522,522130,Credit Unions,522130,Credit Unions,
,,,,,,,,611,611691,Exam Preparation and Tutoring,611691,Exam Preparation and Tutoring,,,,,,,,,,,,,562,562219,Other Nonhazardous Waste Treatment and Disposal,562219,Other Nonhazardous Waste Treatment and Disposal,,,,,522,522190,Other Depository Credit Intermediation,522190,Other Depository Credit Intermediation,
,,,,,,,,611,611692,Automobile Driving Schools,611692,Automobile Driving Schools,,,,,,,,,,,,,562,562910,Remediation Services,562910,Remediation Services,,,,,522,522210,Credit Card Issuing,522210,Credit Card Issuing,
,,,,,,,,611,611699,All Other Miscellaneous Schools and Instruction,611699,All Other Miscellaneous Schools and Instruction,,,,,,,,,,,,,562,562920,Materials Recovery Facilities,562920,Materials Recovery Facilities,,,,,522,522220,Sales Financing,522220,Sales Financing,
,,,,,,,,611,611710,Educational Support Services,611710,Educational Support Services,,,,,,,,,,,,,562,562991,Septic Tank and Related Services,562991,Septic Tank and Related Services,,,,,522,522291,Consumer Lending,522291,Consumer Lending,
,,,,,,,,621,621111,Offices of Physicians (except Mental Health Specialists),621111,Offices of Physicians (except Mental Health Specialists),,,,,,,,,,,,,562,562998,All Other Miscellaneous Waste Management Services,562998,All Other Miscellaneous Waste Management Services,,,,,522,522292,Real Estate Credit,522292,Real Estate Credit,
,,,,,,,,621,621112,"Offices of Physicians, Mental Health Specialists",621112,"Offices of Physicians, Mental Health Specialists",,,,,,,,,,,,,611,611110,Elementary and Secondary Schools,611110,Elementary and Secondary Schools,,,,,522,522293,International Trade Financing,522293,International Trade Financing,
,,,,,,,,621,621210,Offices of Dentists,621210,Offices of Dentists,,,,,,,,,,,,,611,611210,Junior Colleges,611210,Junior Colleges,,,,,522,522294,Secondary Market Financing,522294,Secondary Market Financing,
,,,,,,,,621,621310,Offices of Chiropractors,621310,Offices of Chiropractors,,,,,,,,,,,,,611,611310,"Colleges, Universities, and Professional Schools",611310,"Colleges, Universities, and Professional Schools",,,,,522,522298,All Other Nondepository Credit Intermediation,522298,All Other Nondepository Credit Intermediation,
,,,,,,,,621,621320,Offices of Optometrists,621320,Offices of Optometrists,,,,,,,,,,,,,611,611410,Business and Secretarial Schools,611410,Business and Secretarial Schools,,,,,522,522310,Mortgage and Nonmortgage Loan Brokers,522310,Mortgage and Nonmortgage Loan Brokers,
,,,,,,,,621,621330,Offices of Mental Health Practitioners (except Physicians),621330,Offices of Mental Health Practitioners (except Physicians),,,,,,,,,,,,,611,611420,Computer Training,611420,Computer Training,,,,,522,522320,"Financial Transactions Processing, Reserve, and Clearinghouse Activities",522320,"Financial Transactions Processing, Reserve, and Clearinghouse Activities",
,,,,,,,,621,621340,"Offices of Physical, Occupational and Speech Therapists, and Audiologists",621340,"Offices of Physical, Occupational and Speech Therapists, and Audiologists",,,,,,,,,,,,,611,611430,Professional and Management Development Training,611430,Professional and Management Development Training,,,,,522,522390,Other Activities Related to Credit Intermediation,522390,Other Activities Related to Credit Intermediation,
,,,,,,,,621,621391,Offices of Podiatrists,621391,Offices of Podiatrists,,,,,,,,,,,,,611,611511,Cosmetology and Barber Schools,611511,Cosmetology and Barber Schools,,,,,523,523110,Investment Banking and Securities Dealing,523110,Investment Banking and Securities Dealing,
,,,,,,,,621,621399,Offices of All Other Miscellaneous Health Practitioners,621399,Offices of All Other Miscellaneous Health Practitioners,,,,,,,,,,,,,611,611512,Flight Training,611512,Flight Training,,,,,523,523120,Securities Brokerage,523120,Securities Brokerage,
,,,,,,,,621,621410,Family Planning Centers,621410,Family Planning Centers,,,,,,,,,,,,,611,611513,Apprenticeship Training,611513,Apprenticeship Training,,,,,523,523130,Commodity Contracts Dealing,523130,Commodity Contracts Dealing,
,,,,,,,,621,621420,Outpatient Mental Health and Substance Abuse Centers,621420,Outpatient Mental Health and Substance Abuse Centers,,,,,,,,,,,,,611,611519,Other Technical and Trade Schools,611519,Other Technical and Trade Schools,,,,,523,523140,Commodity Contracts Brokerage,523140,Commodity Contracts Brokerage,
,,,,,,,,621,621491,HMO Medical Centers,621491,HMO Medical Centers,,,,,,,,,,,,,611,611610,Fine Arts Schools,611610,Fine Arts Schools,,,,,523,523210,Securities and Commodity Exchanges,523210,Securities and Commodity Exchanges,
,,,,,,,,621,621492,Kidney Dialysis Centers,621492,Kidney Dialysis Centers,,,,,,,,,,,,,611,611620,Sports and Recreation Instruction,611620,Sports and Recreation Instruction,,,,,523,523910,Miscellaneous Intermediation,523910,Miscellaneous Intermediation,
,,,,,,,,621,621493,Freestanding Ambulatory Surgical and Emergency Centers,621493,Freestanding Ambulatory Surgical and Emergency Centers,,,,,,,,,,,,,611,611630,Language Schools,611630,Language Schools,,,,,523,523920,Portfolio Management,523920,Portfolio Management,
,,,,,,,,621,621498,All Other Outpatient Care Centers,621498,All Other Outpatient Care Centers,,,,,,,,,,,,,611,611691,Exam Preparation and Tutoring,611691,Exam Preparation and Tutoring,,,,,523,523930,Investment Advice,523930,Investment Advice,
,,,,,,,,621,621511,Medical Laboratories,621511,Medical Laboratories,,,,,,,,,,,,,611,611692,Automobile Driving Schools,611692,Automobile Driving Schools,,,,,523,523991,"Trust, Fiduciary, and Custody Activities",523991,"Trust, Fiduciary, and Custody Activities",
,,,,,,,,621,621512,Diagnostic Imaging Centers,621512,Diagnostic Imaging Centers,,,,,,,,,,,,,611,611699,All Other Miscellaneous Schools and Instruction,611699,All Other Miscellaneous Schools and Instruction,,,,,523,523999,Miscellaneous Financial Investment Activities,523999,Miscellaneous Financial Investment Activities,
,,,,,,,,621,621610,Home Health Care Services,621610,Home Health Care Services,,,,,,,,,,,,,611,611710,Educational Support Services,611710,Educational Support Services,,,,,524,524113,Direct Life Insurance Carriers,524113,Direct Life Insurance Carriers,
,,,,,,,,621,621910,Ambulance Services,621910,Ambulance Services,,,,,,,,,,,,,621,621111,Offices of Physicians (except Mental Health Specialists),621111,Offices of Physicians (except Mental Health Specialists),,,,,524,524114,Direct Health and Medical Insurance Carriers,524114,Direct Health and Medical Insurance Carriers,
,,,,,,,,621,621991,Blood and Organ Banks,621991,Blood and Organ Banks,,,,,,,,,,,,,621,621112,"Offices of Physicians, Mental Health Specialists",621112,"Offices of Physicians, Mental Health Specialists",,,,,524,524126,Direct Property and Casualty Insurance Carriers,524126,Direct Property and Casualty Insurance Carriers,
,,,,,,,,621,621999,All Other Miscellaneous Ambulatory Health Care Services,621999,All Other Miscellaneous Ambulatory Health Care Services,,,,,,,,,,,,,621,621210,Offices of Dentists,621210,Offices of Dentists,,,,,524,524127,Direct Title Insurance Carriers,524127,Direct Title Insurance Carriers,
,,,,,,,,622,622110,General Medical and Surgical Hospitals,622110,General Medical and Surgical Hospitals,,,,,,,,,,,,,621,621310,Offices of Chiropractors,621310,Offices of Chiropractors,,,,,524,524128,"Other Direct Insurance (except Life, Health, and Medical) Carriers",524128,"Other Direct Insurance (except Life, Health, and Medical) Carriers",
,,,,,,,,622,622210,Psychiatric and Substance Abuse Hospitals,622210,Psychiatric and Substance Abuse Hospitals,,,,,,,,,,,,,621,621320,Offices of Optometrists,621320,Offices of Optometrists,,,,,524,524130,Reinsurance Carriers,524130,Reinsurance Carriers,
,,,,,,,,622,622310,Specialty (except Psychiatric and Substance Abuse) Hospitals,622310,Specialty (except Psychiatric and Substance Abuse) Hospitals,,,,,,,,,,,,,621,621330,Offices of Mental Health Practitioners (except Physicians),621330,Offices of Mental Health Practitioners (except Physicians),,,,,524,524210,Insurance Agencies and Brokerages,524210,Insurance Agencies and Brokerages,
,,,,,,,,623,623110,Nursing Care Facilities,623110,Nursing Care Facilities (Skilled Nursing Facilities),,,,,,,,,,,,,621,621340,"Offices of Physical, Occupational and Speech Therapists, and Audiologists",621340,"Offices of Physical, Occupational and Speech Therapists, and Audiologists",,,,,524,524291,Claims Adjusting,524291,Claims Adjusting,
,,,,,,,,623,623210,Residential Mental Retardation Facilities,623210,Residential Intellectual and Developmental Disability Facilities,,,,,,,,,,,,,621,621391,Offices of Podiatrists,621391,Offices of Podiatrists,,,,,524,524292,Third Party Administration of Insurance and Pension Funds,524292,Third Party Administration of Insurance and Pension Funds,
,,,,,,,,623,623220,Residential Mental Health and Substance Abuse Facilities,623220,Residential Mental Health and Substance Abuse Facilities,,,,,,,,,,,,,621,621399,Offices of All Other Miscellaneous Health Practitioners,621399,Offices of All Other Miscellaneous Health Practitioners,,,,,524,524298,All Other Insurance Related Activities,524298,All Other Insurance Related Activities,
,,,,,,,,623,623311,Continuing Care Retirement Communities,623311,Continuing Care Retirement Communities,,,,,,,,,,,,,621,621410,Family Planning Centers,621410,Family Planning Centers,,,,,525,525110,Pension Funds,525110,Pension Funds,
,,,,,,,,623,623312,Homes for the Elderly,623312,Assisted Living Facilities for the Elderly,,,,,,,,,,,,,621,621420,Outpatient Mental Health and Substance Abuse Centers,621420,Outpatient Mental Health and Substance Abuse Centers,,,,,525,525120,Health and Welfare Funds,525120,Health and Welfare Funds,
,,,,,,,,623,623990,Other Residential Care Facilities,623990,Other Residential Care Facilities,,,,,,,,,,,,,621,621491,HMO Medical Centers,621491,HMO Medical Centers,,,,,525,525190,Other Insurance Funds,525190,Other Insurance Funds,
,,,,,,,,624,624110,Child and Youth Services,624110,Child and Youth Services,,,,,,,,,,,,,621,621492,Kidney Dialysis Centers,621492,Kidney Dialysis Centers,,,,,525,525910,Open-End Investment Funds,525910,Open-End Investment Funds,
,,,,,,,,624,624120,Services for the Elderly and Persons with Disabilities,624120,Services for the Elderly and Persons with Disabilities,,,,,,,,,,,,,621,621493,Freestanding Ambulatory Surgical and Emergency Centers,621493,Freestanding Ambulatory Surgical and Emergency Centers,,,,,525,525920,"Trusts, Estates, and Agency Accounts",525920,"Trusts, Estates, and Agency Accounts",
,,,,,,,,624,624190,Other Individual and Family Services,624190,Other Individual and Family Services,,,,,,,,,,,,,621,621498,All Other Outpatient Care Centers,621498,All Other Outpatient Care Centers,,,,,525,525930,Real Estate Investment Trusts,525930,Real Estate Investment Trusts,
,,,,,,,,624,624210,Community Food Services,624210,Community Food Services,,,,,,,,,,,,,621,621511,Medical Laboratories,621511,Medical Laboratories,,,,,525,525990,Other Financial Vehicles,525990,Other Financial Vehicles,
,,,,,,,,624,624221,Temporary Shelters,624221,Temporary Shelters,,,,,,,,,,,,,621,621512,Diagnostic Imaging Centers,621512,Diagnostic Imaging Centers,,,,,531,531110,Lessors of Residential Buildings and Dwellings,531110,Lessors of Residential Buildings and Dwellings,
,,,,,,,,624,624229,Other Community Housing Services,624229,Other Community Housing Services,,,,,,,,,,,,,621,621610,Home Health Care Services,621610,Home Health Care Services,,,,,531,531120,Lessors of Nonresidential Buildings (except Miniwarehouses),531120,Lessors of Nonresidential Buildings (except Miniwarehouses),
,,,,,,,,624,624230,Emergency and Other Relief Services,624230,Emergency and Other Relief Services,,,,,,,,,,,,,621,621910,Ambulance Services,621910,Ambulance Services,,,,,531,531130,Lessors of Miniwarehouses and Self-Storage Units,531130,Lessors of Miniwarehouses and Self-Storage Units,
,,,,,,,,624,624310,Vocational Rehabilitation Services,624310,Vocational Rehabilitation Services,,,,,,,,,,,,,621,621991,Blood and Organ Banks,621991,Blood and Organ Banks,,,,,531,531190,Lessors of Other Real Estate Property,531190,Lessors of Other Real Estate Property,
,,,,,,,,624,624410,Child Day Care Services,624410,Child Day Care Services,,,,,,,,,,,,,621,621999,All Other Miscellaneous Ambulatory Health Care Services,621999,All Other Miscellaneous Ambulatory Health Care Services,,,,,531,531210,Offices of Real Estate Agents and Brokers,531210,Offices of Real Estate Agents and Brokers,
,,,,,,,,711,711110,Theater Companies and Dinner Theaters,711110,Theater Companies and Dinner Theaters,,,,,,,,,,,,,622,622110,General Medical and Surgical Hospitals,622110,General Medical and Surgical Hospitals,,,,,531,531311,Residential Property Managers,531311,Residential Property Managers,
,,,,,,,,711,711120,Dance Companies,711120,Dance Companies,,,,,,,,,,,,,622,622210,Psychiatric and Substance Abuse Hospitals,622210,Psychiatric and Substance Abuse Hospitals,,,,,531,531312,Nonresidential Property Managers,531312,Nonresidential Property Managers,
,,,,,,,,711,711130,Musical Groups and Artists,711130,Musical Groups and Artists,,,,,,,,,,,,,622,622310,Specialty (except Psychiatric and Substance Abuse) Hospitals,622310,Specialty (except Psychiatric and Substance Abuse) Hospitals,,,,,531,531320,Offices of Real Estate Appraisers,531320,Offices of Real Estate Appraisers,
,,,,,,,,711,711190,Other Performing Arts Companies,711190,Other Performing Arts Companies,,,,,,,,,,,,,623,623110,Nursing Care Facilities,623110,Nursing Care Facilities,,,,,531,531390,Other Activities Related to Real Estate,531390,Other Activities Related to Real Estate,
,,,,,,,,711,711211,Sports Teams and Clubs,711211,Sports Teams and Clubs,,,,,,,,,,,,,623,623210,Residential Mental Retardation Facilities,623210,Residential Mental Retardation Facilities,,,,,532,532111,Passenger Car Rental,532111,Passenger Car Rental,
,,,,,,,,711,711212,Racetracks,711212,Racetracks,,,,,,,,,,,,,623,623220,Residential Mental Health and Substance Abuse Facilities,623220,Residential Mental Health and Substance Abuse Facilities,,,,,532,532112,Passenger Car Leasing,532112,Passenger Car Leasing,
,,,,,,,,711,711219,Other Spectator Sports,711219,Other Spectator Sports,,,,,,,,,,,,,623,623311,Continuing Care Retirement Communities,623311,Continuing Care Retirement Communities,,,,,532,532120,"Truck, Utility Trailer, and RV (Recreational Vehicle) Rental and Leasing",532120,"Truck, Utility Trailer, and RV (Recreational Vehicle) Rental and Leasing",
,,,,,,,,711,711310,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",711310,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",,,,,,,,,,,,,623,623312,Homes for the Elderly,623312,Homes for the Elderly,,,,,532,532210,Consumer Electronics and Appliances Rental,532210,Consumer Electronics and Appliances Rental,
,,,,,,,,711,711320,"Promoters of Performing Arts, Sports, and Similar Events without Facilities",711320,"Promoters of Performing Arts, Sports, and Similar Events without Facilities",,,,,,,,,,,,,623,623990,Other Residential Care Facilities,623990,Other Residential Care Facilities,,,,,532,532220,Formal Wear and Costume Rental,532220,Formal Wear and Costume Rental,
,,,,,,,,711,711410,"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures",711410,"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures",,,,,,,,,,,,,624,624110,Child and Youth Services,624110,Child and Youth Services,,,,,532,532230,Video Tape and Disc Rental,532230,Video Tape and Disc Rental,
,,,,,,,,711,711510,"Independent Artists, Writers, and Performers",711510,"Independent Artists, Writers, and Performers",,,,,,,,,,,,,624,624120,Services for the Elderly and Persons with Disabilities,624120,Services for the Elderly and Persons with Disabilities,,,,,532,532291,Home Health Equipment Rental,532291,Home Health Equipment Rental,
,,,,,,,,712,712110,Museums,712110,Museums,,,,,,,,,,,,,624,624190,Other Individual and Family Services,624190,Other Individual and Family Services,,,,,532,532292,Recreational Goods Rental,532292,Recreational Goods Rental,
,,,,,,,,712,712120,Historical Sites,712120,Historical Sites,,,,,,,,,,,,,624,624210,Community Food Services,624210,Community Food Services,,,,,532,532299,All Other Consumer Goods Rental,532299,All Other Consumer Goods Rental,
,,,,,,,,712,712130,Zoos and Botanical Gardens,712130,Zoos and Botanical Gardens,,,,,,,,,,,,,624,624221,Temporary Shelters,624221,Temporary Shelters,,,,,532,532310,General Rental Centers,532310,General Rental Centers,
,,,,,,,,712,712190,Nature Parks and Other Similar Institutions,712190,Nature Parks and Other Similar Institutions,,,,,,,,,,,,,624,624229,Other Community Housing Services,624229,Other Community Housing Services,,,,,532,532411,"Commercial Air, Rail, and Water Transportation Equipment Rental and Leasing",532411,"Commercial Air, Rail, and Water Transportation Equipment Rental and Leasing",
,,,,,,,,713,713110,Amusement and Theme Parks,713110,Amusement and Theme Parks,,,,,,,,,,,,,624,624230,Emergency and Other Relief Services,624230,Emergency and Other Relief Services,,,,,532,532412,"Construction, Mining, and Forestry Machinery and Equipment Rental and Leasing",532412,"Construction, Mining, and Forestry Machinery and Equipment Rental and Leasing",
,,,,,,,,713,713120,Amusement Arcades,713120,Amusement Arcades,,,,,,,,,,,,,624,624310,Vocational Rehabilitation Services,624310,Vocational Rehabilitation Services,,,,,532,532420,Office Machinery and Equipment Rental and Leasing,532420,Office Machinery and Equipment Rental and Leasing,
,,,,,,,,713,713210,Casinos (except Casino Hotels),713210,Casinos (except Casino Hotels),,,,,,,,,,,,,624,624410,Child Day Care Services,624410,Child Day Care Services,,,,,532,532490,Other Commercial and Industrial Machinery and Equipment Rental and Leasing,532490,Other Commercial and Industrial Machinery and Equipment Rental and Leasing,
,,,,,,,,713,713290,Other Gambling Industries,713290,Other Gambling Industries,,,,,,,,,,,,,711,711110,Theater Companies and Dinner Theaters,711110,Theater Companies and Dinner Theaters,,,,,533,533110,Lessors of Nonfinancial Intangible Assets (except Copyrighted Works),533110,Lessors of Nonfinancial Intangible Assets (except Copyrighted Works),
,,,,,,,,713,713910,Golf Courses and Country Clubs,713910,Golf Courses and Country Clubs,,,,,,,,,,,,,711,711120,Dance Companies,711120,Dance Companies,,,,,541,541110,Offices of Lawyers,541110,Offices of Lawyers,
,,,,,,,,713,713920,Skiing Facilities,713920,Skiing Facilities,,,,,,,,,,,,,711,711130,Musical Groups and Artists,711130,Musical Groups and Artists,,,,,541,541120,Offices of Notaries,541120,Offices of Notaries,
,,,,,,,,713,713930,Marinas,713930,Marinas,,,,,,,,,,,,,711,711190,Other Performing Arts Companies,711190,Other Performing Arts Companies,,,,,541,541191,Title Abstract and Settlement Offices,541191,Title Abstract and Settlement Offices,
