"ProjectAbbreviation","ProjectName","ProjectPlatform","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"1DCK","CARRIER GM901 ITV","Land Vehicles",325000,,3e+05,-92866,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1DEF","LOADER SCOOP TYPE 4-6 CU ","Land Vehicles",,,,,,,67200,,,,,,,,,,,,,,,,,,,,,,,,
"1DGG","AIR CUSHION VEH 30 TON","Land Vehicles",103000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1DJA","M-60 COMBAT 152MM GUN","Land Vehicles",,,-1567462,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1DJB","M-60 COMBAT 105MM GUN","Land Vehicles",,4e+05,216766,526838,,,,,,,,,450906,,,,,,,,,,,,,,,,,,
"1DJC","M-48 TANK","Land Vehicles",,188000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1DJE","M-1 COMBAT 105MM GUN (ABR","Land Vehicles",,10949000,18542533,1416618,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1DJG","M-728 COMBAT","Ordnance and Missiles",,62000,313221,136911,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1DJJ","M-2 IFV (BRADLEY)","Land Vehicles",,222000,115533,1409338,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1DJK","M-3 CFV (BRADLEY)","Land Vehicles",,,75415,48000,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1DJL","FIRE SUPT TEAM VEH","Land Vehicles",22167000,,358401,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1DJM","LIGHT ARMORED VEHICLE (LA","Land Vehicles",,,,,1134999,-100388,280000,,,151200,,,301873,607633,,,,,,,,,,,,,,,,,
"1DJN","ABRAMS SERIES (M1/M1A1/M1","Land Vehicles",,,,,1953182,1261797,1087816,6661229,12145869,17097330,399288,2198017,8065828,4163242,,,,,,,,,,,,,,,,,
