Data Download from NCSES Interactive Data Tool,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filters,Selected values,,,,,,,,,,,,,,,,,,,,,,,,,,
Performer of Research by Field,"Universities and colleges, excluding FFRDCs, Other than universities and colleges",,,,,,,,,,,,,,,,,,,,,,,,,,
Basic Research and Applied Research,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,
Detailed Fields,"Agricultural sciences, Biological sciences (excluding environmental), Environmental biology, Medical sciences, Other life sciences, Biological aspects",,,,,,,,,,,,,,,,,,,,,,,,,,
Fiscal Year,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deflator: Current Dollars,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit of Measure: Thousands of Dollars,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,<Fiscal Year>,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999
Science,Life sciences,Agricultural sciences,Department of Defense,Other defense agencies,Total for selected values,Total for selected values,"2,884","3,759","1,377","1,599","2,845","1,503",-,"1,076","2,827",-,-,-,-,-,-,-,-,-,-,-,-
Science,Life sciences,Agricultural sciences,Department of Defense,Other defense agencies,Basic research,Total for selected values,"1,884","2,759","1,377","1,599","2,845","1,503",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Science,Life sciences,Agricultural sciences,Department of Defense,Other defense agencies,Basic research,"Universities and colleges, excluding FFRDCs","1,884","2,759","1,377","1,599","2,845","1,503",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Science,Life sciences,Agricultural sciences,Department of Defense,Other defense agencies,Applied research,Total for selected values,"1,000","1,000",-,-,-,-,-,"1,076","2,827",-,-,-,-,-,-,-,-,-,-,-,-
Science,Life sciences,Agricultural sciences,Department of Defense,Other defense agencies,Applied research,"Universities and colleges, excluding FFRDCs",-,-,-,-,-,-,-,"1,076","2,821",-,-,-,-,-,-,-,-,-,-,-,-
Science,Life sciences,Agricultural sciences,Department of Defense,Other defense agencies,Applied research,Other than universities and colleges,"1,000","1,000",-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-
Science,Life sciences,Agricultural sciences,Department of Energy,Total for selected values,Total for selected values,Total for selected values,"14,622","15,871","24,242","5,978","20,591","3,071","24,230","1,831","34,207",-,-,-,-,-,-,-,975,-,-,-,-
Science,Life sciences,Agricultural sciences,Department of Energy,Advanced Research Projects Agency-Energy,Total for selected values,Total for selected values,"14,400","15,871","24,242","5,978","20,591","3,071","23,930","1,831","34,207",-,-,-,-,-,-,-,-,-,-,-,-
Science,Life sciences,Agricultural sciences,Department of Energy,Advanced Research Projects Agency-Energy,Applied research,Total for selected values,"14,400","15,871","24,242","5,978","20,591","3,071","23,930","1,831","34,207",-,-,-,-,-,-,-,-,-,-,-,-
Science,Life sciences,Agricultural sciences,Department of Energy,Advanced Research Projects Agency-Energy,Applied research,"Universities and colleges, excluding FFRDCs","8,567","6,054","17,307","3,484","12,211","3,071","16,213",595,"18,376",-,-,-,-,-,-,-,-,-,-,-,-
Science,Life sciences,Agricultural sciences,Department of Energy,Advanced Research Projects Agency-Energy,Applied research,Other than universities and colleges,"5,833","9,816","6,934","2,495","8,380",-,"7,718","1,236","15,831",-,-,-,-,-,-,-,-,-,-,-,-
Science,Life sciences,Agricultural sciences,Department of Energy,Bonneville Power Administration,Total for selected values,Total for selected values,-,-,-,-,-,-,300,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Science,Life sciences,Agricultural sciences,Department of Energy,Bonneville Power Administration,Basic research,Total for selected values,-,-,-,-,-,-,200,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Science,Life sciences,Agricultural sciences,Department of Energy,Bonneville Power Administration,Basic research,"Universities and colleges, excluding FFRDCs",-,-,-,-,-,-,200,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Science,Life sciences,Agricultural sciences,Department of Energy,Bonneville Power Administration,Applied research,Total for selected values,-,-,-,-,-,-,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Science,Life sciences,Agricultural sciences,Department of Energy,Bonneville Power Administration,Applied research,Other than universities and colleges,-,-,-,-,-,-,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-
